respondent_state,investor_home_state,economic_sector,economic_subsector,summary_of_dispute,amount_claimed_raw,year,amount_claimed_musd,respondent_state_iso3,investor_home_state_iso3,sector_A,sector_B,sector_C,sector_D,sector_E,sector_F,sector_G,sector_H,sector_I,sector_J,sector_K,sector_L,sector_M,sector_N,sector_O
Argentina,Spain,"F - Construction;
Tertiary - H - Transportation and storage","42 - Civil engineering;
52 - Warehousing and support activities for transportation",,Data not available,2023,,ARG,ESP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mexico,United States of America,"A - Agriculture, forestry and fishing","1 - Crop and animal production, hunting and related service activities","Claims arising out of the government’s decision to seize 280 hectares of agricultural land owned by the claimant and to transfer the land rights to El Ejido San Isidro, a group of local farmers.",3000.00 USD,2023,3000.0,MEX,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Switzerland,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2023,,DEU,CHE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
North Macedonia,Albania,F - Construction,41 - Construction of buildings,,110.00 USD,2023,110.0,MKD,ALB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
North Macedonia,Italy,"E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery",,Data not available,2023,,MKD,ITA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Armenia,United States of America,B - Mining and quarrying,7 - Mining of metal ores,,Data not available,2023,,ARM,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,Lebanon,K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security","Claims arising out of the decision of the Central Bank of Curaçao and Sint Maarten to take over companies that are part of the Ennia insurance group in which the claimant had invested, allegedly expropriating Ennia’s assets and depleting its value.",132.90 USD,2023,132.9,NLD,LBN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
United States of America,Canada,"H - Transportation and storage;
Tertiary - F - Construction","49 - Land transport and transport via pipelines;
42 - Civil engineering","Claims arising out of the incoming president’s executive order in 2021 revoking a 2019 presidential permit to construct the Keystone XL Pipeline, a proposed crude oil pipeline from Alberta (Canada) to Nebraska (United States).",1300.00 CAD (961.40 USD),2023,961.4,USA,CAN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mexico,United States of America,L - Real estate activities,68 - Real estate activities,,Data not available,2023,,MEX,USA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Honduras,United States of America,F - Construction,41 - Construction of buildings,,Data not available,2023,,HND,USA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Argentina,United States of America,F - Construction,41 - Construction of buildings,,Data not available,2023,,ARG,USA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Norway,Latvia,"A - Agriculture, forestry and fishing",3 - Fishing and aquaculture,,Data not available,2023,,NOR,LVA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,Spain,K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security",,Data not available,2023,,PAN,ESP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Venezuela, Bolivarian Republic of",Spain,"K - Financial and insurance activities;
Tertiary - K - Financial and insurance activities","64 - Financial service activities, except insurance and pension funding;
65 - Insurance, reinsurance and pension funding, except compulsory social security",,Data not available,2023,,VEN,ESP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Georgia,Switzerland,L - Real estate activities,68 - Real estate activities,,Data not available,2023,,GEO,CHE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lithuania,Belarus,C - Manufacturing,20 - Manufacture of chemicals and chemical products,,Data not available,2023,,LTU,BLR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Belize,United Kingdom,F - Construction,42 - Civil engineering,,Data not available,2023,,BLZ,GBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Colombia,Spain,"E - Water supply; sewerage, waste management and remediation activities","36 - Water collection, treatment and supply",,Data not available,2023,,COL,ESP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mexico,Canada,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2023,,MEX,CAN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,China,C - Manufacturing,24 - Manufacture of basic metals,,Data not available,2023,,TTO,CHN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,United States of America,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",,Data not available,2023,,MEX,USA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Georgia,United States of America,C - Manufacturing,33 - Repair and installation of machinery and equipment,,Data not available,2023,,GEO,USA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Albania,Germany,H - Transportation and storage,52 - Warehousing and support activities for transportation,,Data not available,2023,,ALB,DEU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mexico,United States of America,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,120.00 USD,2023,120.0,MEX,USA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mexico,Canada,B - Mining and quarrying,7 - Mining of metal ores,,Data not available,2023,,MEX,CAN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Switzerland,B - Mining and quarrying,5 - Mining of coal and lignite,,Data not available,2023,,COL,CHE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,Canada,B - Mining and quarrying,7 - Mining of metal ores,"Claims arising out of the alleged failure of Mexican courts to reach a decision on the merits and provide relief to the claimant after 10 years of legal disputes with DynaResource, Inc., concerning the claimant’s stake in DynaResource de Mexico, S.A. de C.V., and the San José de Gracia gold mine. According to the claimant, the treatment and inaction by the Mexican courts have resulted in a judicial expropriation of its investment in the San José de Gracia gold mining project.",100.00 USD,2023,100.0,MEX,CAN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Germany,L - Real estate activities,68 - Real estate activities,,Data not available,2023,,CRI,DEU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saudi Arabia,Türkiye,F - Construction,42 - Civil engineering,,Data not available,2023,,SAU,TUR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Venezuela, Bolivarian Republic of",Netherlands,B - Mining and quarrying,7 - Mining of metal ores,,Data not available,2023,,VEN,NLD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Malaysia,"F - Construction;
Tertiary - H - Transportation and storage","42 - Civil engineering;
52 - Warehousing and support activities for transportation",,Data not available,2023,,ARG,MYS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Honduras,Panama,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2023,,HND,PAN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Honduras,Mexico,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",,Data not available,2023,,HND,MEX,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Venezuela, Bolivarian Republic of",United Kingdom,C - Manufacturing,10 - Manufacture of food products,,Data not available,2023,,VEN,GBR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,United Kingdom,C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,Data not available,2023,,DNK,GBR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Germany,United Kingdom,C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,Data not available,2023,,DEU,GBR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
European Union,"Germany;
Denmark;
United Kingdom",C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,Data not available,2023,,,DEU; DNK; GBR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,"Korea, Republic of",B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,,Data not available,2023,,NGA,KOR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,United Kingdom,F - Construction,41 - Construction of buildings,,Data not available,2023,,AZE,GBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Belgium,Libya,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",,Data not available,2023,,BEL,LBY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bosnia and Herzegovina,India,C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,Data not available,2023,,BIH,IND,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,France,F - Construction,42 - Civil engineering,,Data not available,2023,,SEN,FRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mexico,United States of America,H - Transportation and storage,49 - Land transport and transport via pipelines,,Data not available,2023,,MEX,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Honduras,Guatemala,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2023,,HND,GTM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cameroon,Italy,F - Construction,41 - Construction of buildings,,Data not available,2023,,CMR,ITA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Morocco,France,"E - Water supply; sewerage, waste management and remediation activities;
Tertiary - E - Water supply; sewerage, waste management and remediation activities","38 - Waste collection, treatment and disposal activities; materials recovery;
37 - Sewerage",,Data not available,2023,,MAR,FRA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Viet Nam,China,F - Construction,42 - Civil engineering,,Data not available,2023,,VNM,CHN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Honduras,United States of America,L - Real estate activities,68 - Real estate activities,"Claims arising out of the government’s actions to repeal the legal framework for special economic zones known as “ZEDE”, allegedly interfering with the Próspera ZEDE in which the claimant had invested.",Data not available,2023,,HND,USA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Canada,United States of America,C - Manufacturing,19 - Manufacture of coke and refined petroleum products,"Claims arising out of the government’s 2022 decision to refuse authorization for the construction of the Énergie Saguenay Project, a liquefied natural gas facility project that the claimant had invested in through Symbio. The government’s decision also allegedly stalled the claimant’s parallel natural gas pipeline project in Quebec (the Gazoduq Project). According to the claimant, the government’s rejection of the projects, after a federal agency’s environmental assessment report, and related actions by the province of Quebec were arbitrary and discriminatory.",20000.00 USD,2023,20000.0,CAN,USA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation,Ukraine,"C - Manufacturing;
Tertiary - R - Arts, entertainment and recreation;
Tertiary - L - Real estate activities","24 - Manufacture of basic metals;
93 - Sports activities and amusement and recreation activities;
68 - Real estate activities",,Data not available,2023,,RUS,UKR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,United States of America,H - Transportation and storage,52 - Warehousing and support activities for transportation,,Data not available,2023,,MEX,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mexico,United States of America,B - Mining and quarrying,7 - Mining of metal ores,,Data not available,2023,,MEX,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,Switzerland,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2023,,ITA,CHE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Myanmar,Singapore,J - Information and communication,61 - Telecommunications,,Data not available,2023,,MMR,SGP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tanzania, United Republic of","United Kingdom;
Mauritius",I - Accommodation and food service activities,55 - Accommodation,,Data not available,2023,,TZA,GBR; MUS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Peru,Mexico,J - Information and communication,61 - Telecommunications,,Data not available,2023,,PER,MEX,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Algeria,Switzerland,H - Transportation and storage,52 - Warehousing and support activities for transportation,,Data not available,2023,,DZA,CHE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tunisia,United Kingdom,B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,,Data not available,2023,,TUN,GBR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
