ISO3,Country,Corruption_Score,Press_Freedom_Score,Literacy_Rate_Pct,Rule_of_Law_Score_Pct
AFG,Afghanistan,17.0,39.75,37.0,
AGO,Angola,32.0,48.3,72.0,
ALB,Albania,42.0,57.86,99.0,45.75711263459958
AND,,,75.05,100.0,
ARE,United Arab Emirates,68.0,42.99,98.0,55.30594951391282
ARG,Argentina,37.0,73.36,99.0,45.99245083640942
ARM,Armenia,47.0,70.61,100.0,
AUS,Australia,77.0,78.24,100.0,88.34569319810308
AUT,Austria,67.0,77.3,,82.25011378235942
AZE,Azerbaijan,22.0,39.93,100.0,
BDI,Burundi,17.0,52.14,76.0,
BEL,Belgium,69.0,76.47,,78.08681048535466
BEN,Benin,45.0,52.44,47.0,
BFA,Burkina Faso,41.0,67.64,34.0,43.31837341953797
BGD,Bangladesh,23.0,35.31,75.0,40.29314208965748
BGR,Bulgaria,43.0,62.98,98.0,51.46301756811993
BHR,Bahrain,53.0,30.59,98.0,
BHS,Bahamas,65.0,,,
BIH,Bosnia and Herzegovina,33.0,65.43,98.0,54.5037693443433
BLR,Belarus,33.0,37.17,100.0,33.50350992184788
BLZ,,,70.49,81.0,
BOL,Bolivia,28.0,51.09,94.0,37.606720711393784
BRA,Brazil,34.0,58.67,94.0,62.230282366947556
BRB,Barbados,68.0,,100.0,
BRN,,,44.2,98.0,
BTN,Bhutan,72.0,59.25,72.0,
BWA,Botswana,57.0,64.61,89.0,73.28336029706017
CAF,Central African Republic,24.0,57.56,37.0,
CAN,Canada,75.0,83.53,100.0,78.27798588953276
CHE,Switzerland,81.0,84.4,100.0,
CHL,Chile,63.0,60.09,97.0,73.66246455514838
CHN,China,43.0,22.97,97.0,36.399932862631786
CIV,Côte d'Ivoire,45.0,68.83,,
CMR,Cameroon,26.0,45.58,78.0,30.843937252190063
COD,Democratic Republic of the Congo,20.0,48.55,81.0,
COG,Congo,23.0,60.42,,
COL,Colombia,39.0,45.23,96.0,54.59972126114335
COM,Comoros,21.0,62.25,62.0,
CPV,Cabo Verde,62.0,75.72,,
CRI,Costa Rica,58.0,80.2,98.0,
CSS,,,58.36,,
CTU,,,61.73,,
CUB,Cuba,41.0,29.0,100.0,
CYP,Cyprus,56.0,68.62,99.0,
