respondent_state,investor_home_state,economic_sector,summary_of_dispute,amount_claimed_musd,year,"Primary - A - Agriculture, forestry and fishing",Primary - B - Mining and quarrying,Secondary - C - Manufacturing,"Tertiary - D - Electricity, gas, steam and air conditioning supply","Tertiary - E - Water supply; sewerage, waste management and remediation activities",Tertiary - F - Construction,Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,Tertiary - H - Transportation and storage,Tertiary - I - Accommodation and food service activities,Tertiary - J - Information and communication,Tertiary - K - Financial and insurance activities,Tertiary - L - Real estate activities,"Tertiary - M - Professional, scientific and technical activities",Tertiary - N - Administrative and support service activities,Tertiary - O - Public administration and defence; compulsory social security,Tertiary - Q - Human health and social work activities,"Tertiary - R - Arts, entertainment and recreation",Tertiary - S - Other service activities
ARG,ESP,"Tertiary - F - Construction;
Tertiary - H - Transportation and storage",,,2023,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
MEX,USA,"Primary - A - Agriculture, forestry and fishing","Claims arising out of the government’s decision to seize 280 hectares of agricultural land owned by the claimant and to transfer the land rights to El Ejido San Isidro, a group of local farmers.",,2023,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DEU,CHE,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2023,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MKD,ALB,Tertiary - F - Construction,,,2023,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
MKD,ITA,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",,,2023,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ARM,USA,Primary - B - Mining and quarrying,,,2023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NLD,LBN,Tertiary - K - Financial and insurance activities,"Claims arising out of the decision of the Central Bank of Curaçao and Sint Maarten to take over companies that are part of the Ennia insurance group in which the claimant had invested, allegedly expropriating Ennia’s assets and depleting its value.",,2023,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
USA,CAN,"Tertiary - H - Transportation and storage;
Tertiary - F - Construction","Claims arising out of the incoming president’s executive order in 2021 revoking a 2019 presidential permit to construct the Keystone XL Pipeline, a proposed crude oil pipeline from Alberta (Canada) to Nebraska (United States).",,2023,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
MEX,USA,Tertiary - L - Real estate activities,,,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
HND,USA,Tertiary - F - Construction,,,2023,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
ARG,USA,Tertiary - F - Construction,,,2023,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
NOR,LVA,"Primary - A - Agriculture, forestry and fishing",,,2023,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PAN,ESP,Tertiary - K - Financial and insurance activities,,,2023,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
VEN,ESP,"Tertiary - K - Financial and insurance activities;
Tertiary - K - Financial and insurance activities",,,2023,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
GEO,CHE,Tertiary - L - Real estate activities,,,2023,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
LTU,BLR,Secondary - C - Manufacturing,,,2023,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BLZ,GBR,Tertiary - F - Construction,,,2023,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
COL,ESP,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",,,2023,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
MEX,CAN,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2023,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TTO,CHN,Secondary - C - Manufacturing,,,2023,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEX,USA,Tertiary - K - Financial and insurance activities,,,2023,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
GEO,USA,Secondary - C - Manufacturing,,,2023,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ALB,DEU,Tertiary - H - Transportation and storage,,,2023,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
MEX,USA,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2023,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEX,CAN,Primary - B - Mining and quarrying,,,2023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL,CHE,Primary - B - Mining and quarrying,,,2023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEX,CAN,Primary - B - Mining and quarrying,"Claims arising out of the alleged failure of Mexican courts to reach a decision on the merits and provide relief to the claimant after 10 years of legal disputes with DynaResource, Inc., concerning the claimant’s stake in DynaResource de Mexico, S.A. de C.V., and the San José de Gracia gold mine. According to the claimant, the treatment and inaction by the Mexican courts have resulted in a judicial expropriation of its investment in the San José de Gracia gold mining project.",,2023,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
