Case URL,Case Filing Year for Action,Status,Case Categories,Geographies,agriculture,construction,education,energy_supply,enviromental_management,extractive,finance_insurance,fishing,forestry,informal,manufacturing,media,public,trade,transportation_logistics,water_management,num_sectors
https://www.climatecasechart.com/document/6c-raz-pty-ltd-v-frankston-city-council_a3c9,2023,Decided,Environmental assessment and permitting;Other projects;Suits against governments,AUS;AU-VIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
https://www.climatecasechart.com/document/a-gingras-v-proctor-gamble-inc_22fb,2025,Pending,"Corporations;Misleading advertising;Suits against corporations, individuals",CAN;CA-QC,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,4
https://www.climatecasechart.com/document/a-request-for-an-advisory-opinion-from-the-inter-american-court-of-human-rights-concerning-the-interpretation-of-article-1-1-4-1-and-5-1-of-the-american-convention-on-human-rights_8b54,2016,Decided,Advisory Opinions,XAB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/a-sud-ecologia-e-cooperazione-odv-ets-v-italy_b5ca,2023,Decided,Human Rights;Other;Suits against governments,XAB,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4
https://www.climatecasechart.com/document/a-sud-et-al-v-italy_004c,2021,Under Appeal,GHG emissions reduction and trading;Human Rights;Other;Suits against governments,ITA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
https://www.climatecasechart.com/document/accc-carbon-neutral-claims_97a8,2023,Pending,GHG emissions reduction and trading;Other;Suits against governments,AUS,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,6
https://www.climatecasechart.com/document/accc-toyota-environmental-claim_4c4c,2023,Pending,"Corporations;Misleading advertising;Suits against corporations, individuals",AUS,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,5
https://www.climatecasechart.com/document/access-to-minimum-water-volumes-in-queretaro_1798,2024,Decided,Suits against governments;Human Rights,MEX,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,4
https://www.climatecasechart.com/document/ack-residents-against-turbines-v-u-s-bureau-of-ocean-energy-management_448e,2021,Notice of appeal filed by plaintiffs.,Endangered Species Act and Other Wildlife Protection Statutes;Federal Statutory Claims;NEPA,USA;US-MA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
https://www.climatecasechart.com/document/adi-7095-complexo-termeletrico-jorge-lacerda_7d0a,2022,Pending,Just transition;Suits against governments,BRA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3
https://www.climatecasechart.com/document/adi-7146-regime-of-environmental-protected-areas-in-urban-areas_fb07,2022,Pending,Protecting biodiversity and ecosystems;Suits against governments,BRA,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,4
https://www.climatecasechart.com/document/adi-7332-policy-for-just-energy-transition-of-the-state-of-santa-catarina_5490,2022,Pending,Just transition;Suits against governments,BRA,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,6
https://www.climatecasechart.com/document/adi-7438-environmental-protection-of-the-cerrado-biome_3717,2023,Pending,Protecting biodiversity and ecosystems;Suits against governments,BRA,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,6
https://www.climatecasechart.com/document/adi-7582-indigenous-genocide-law_ffc3,2023,Pending,Human Rights;Suits against governments,BRA,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,6
https://www.climatecasechart.com/document/adi-7596-renovabio-and-unlawful-interference-in-economic-activity_ec69,2024,Pending,Energy and power;Suits against governments,BRA,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,5
https://www.climatecasechart.com/document/adi-7617-renovabio_ce1e,2024,Pending,Energy and power;Suits against governments,BRA,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,6
https://www.climatecasechart.com/document/ado-54-amazon-deforestation_bec3,2019,Decided,Protecting biodiversity and ecosystems;Suits against governments,BRA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/adpf-1201-fires-in-the-cerrado-and-atlantic-forest_3cda,2024,Decided,Protecting biodiversity and ecosystems;Suits against governments,BRA,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,9
https://www.climatecasechart.com/document/adpf-1215-paving-of-br-319_cf9e,2025,Decided,Environmental assessment and permitting;Suits against governments,BRA,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,5
https://www.climatecasechart.com/document/adpf-746-fires-in-the-pantanal-and-the-amazon-forest_5747,2020,Decided,Human Rights;Indigenous Groups;Right to a healthy environment;Suits against governments;Youth/Children,BRA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
https://www.climatecasechart.com/document/adpf-857-pantanal-wildfires_c3e6,2021,Decided,Protecting biodiversity and ecosystems;Suits against governments,BRA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3
https://www.climatecasechart.com/document/adpf-934-transfer-of-funds-to-prodes-cerrado_dbbf,2022,Pending,Protecting biodiversity and ecosystems;Suits against governments,BRA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
https://www.climatecasechart.com/document/advocates-for-a-cleaner-tacoma-v-puget-sound-clean-air-agency_bbcc,2021,Petition for judicial review filed by Puyallup Tribe of Indians.,Environmentalist Lawsuits;State Impact Assessment Laws;State Law Claims,USA;US-WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
https://www.climatecasechart.com/document/af-kiribati-teitiota-v-the-chief-executive-of-ministry-of-business-innovation-and-employment_78a8,2013,Decided,Suits against governments;Climate migration;Human Rights,NZL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/africa-climate-alliance-et-al-v-minister-of-mineral-resources-energy-et-al-cancelcoal-case_a360,2021,Decided,Environmental assessment and permitting;Suits against governments;Utilities,ZAF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
https://www.climatecasechart.com/document/air-products-blue-energy-llc-v-livingston-parish-government_8f87,2022,Joint motion for consent judgment granted.,Federal Statutory Claims;Other Statutes and Regulations,USA;US-LA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
https://www.climatecasechart.com/document/aji-p-v-state-of-washington_2a62,2018,Dismissal affirmed.,Environmentalist Lawsuits;Public Trust Claims;State Law Claims,USA;US-WA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/alabama-municipal-distributors-group-v-federal-energy-regulatory-commission_2be5,2022,Petitions for review denied.,Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-DC,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3
https://www.climatecasechart.com/document/alabama-municipal-distributors-group-v-federal-energy-regulatory-commission_dda6,2022,Petition for review filed.,Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-DC,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
https://www.climatecasechart.com/document/alaska-community-action-on-toxics-v-council-on-environmental-quality_60a4,2020,Joint status report and unopposed motion to extend stay of case by 120 days filed.,Federal Statutory Claims;NEPA,USA;US-CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
https://www.climatecasechart.com/document/alaska-forest-association-v-u-s-department-of-agriculture_05ea,2025,Complaint filed.,Federal Statutory Claims;Other Statutes and Regulations,USA;US-AK,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5
https://www.climatecasechart.com/document/alaska-industrial-development-export-authority-v-biden_7a05,2021,Plaintiff's motion to alter or amend and intervenor-plaintiff's motion for relief from final judgment denied.,Federal Statutory Claims;Other Statutes and Regulations,USA;US-AK,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/alaska-industrial-development-export-authority-v-u-s-department-of-the-interior_02c6,2023,Government’s motion to transfer to the federal district court for the District of Alaska granted.,Constitutional Claims;Federal Statutory Claims;Fifth Amendment;Other Statutes and Regulations,USA;US-DC,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3
https://www.climatecasechart.com/document/alaska-industrial-development-export-authority-v-u-s-department-of-the-interior_1734,2024,Complaint filed.,Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-AK,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,7
https://www.climatecasechart.com/document/alaska-industrial-development-export-authority-v-u-s-department-of-the-interior_4c80,2023,Notice of appeal filed by Gwich'in Steering Committee.,Constitutional Claims;Federal Statutory Claims;Fifth Amendment;Other Statutes and Regulations,USA;US-AK,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
https://www.climatecasechart.com/document/alaska-v-bureau-of-land-management_a047,2024,Complaint in intervention filed by Alaska Oil and Gas Association.,Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-AK,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,8
https://www.climatecasechart.com/document/alaska-v-haaland_ccd8,2024,Unopposed motion for stay granted.,Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-AK,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,4
https://www.climatecasechart.com/document/alaska-v-national-marine-fisheries-service_3d8d,2022,Plaintiffs' challenged denied.,Endangered Species Act and Other Wildlife Protection Statutes;Federal Statutory Claims,USA;US-AK,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
https://www.climatecasechart.com/document/alaska-v-national-marine-fisheries-service_4440,2023,Principal brief filed by federal defendant National Marine Fisheries Service.,Endangered Species Act and Other Wildlife Protection Statutes;Federal Statutory Claims,USA;US-AK,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
https://www.climatecasechart.com/document/alaska-v-national-marine-fisheries-service_6a9f,2023,Final rules designating critical habitat vacated and remanded.,Endangered Species Act and Other Wildlife Protection Statutes;Federal Statutory Claims,USA;US-AK,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,10
https://www.climatecasechart.com/document/alaska-v-national-marine-fisheries-service_d59f,2022,Summary judgment for National Marine Fisheries Service affirmed.,Endangered Species Act and Other Wildlife Protection Statutes;Federal Statutory Claims,USA;US-AK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/alaska-v-ross_7853,2013,Certiorari denied.,Endangered Species Act and Other Wildlife Protection Statutes;Federal Statutory Claims,USA;US-AK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/alaska-v-u-s-department-of-agriculture_f122,2023,Complaint filed.,Adaptation;Challenges to adaptation measures;Constitutional Claims;Federal Statutory Claims;Other Constitutional Claims;Other Statutes and Regulations,USA;US-AK,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,10
https://www.climatecasechart.com/document/alaska-v-u-s-department-of-the-interior_d359,2025,Complaint filed.,Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-AK,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
https://www.climatecasechart.com/document/alaska-wilderness-league-v-jewell_a49a,2008,Opening brief submitted. ,Federal Statutory Claims;NEPA,USA;US-AK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/alatna-village-council-v-padgett_67b1,2020,Fourth status report filed by defendants.,Federal Statutory Claims;NEPA;Other Statutes and Regulations,USA;US-AK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
