ID;Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement;Comment on contract
1w4V2aI9;724;;;;5;
tGSS5q4E;778;;;;25;
0fXI63az;847;;;;30;
d24WOchE;849;;;;90;
PDMXavWg;851;;;;25;
WaMG-_4U;854;;;;30;
KnM8jFjt;3107;;;;;See the Appendix of Source 14 for more details on the land transactions
mzHr-GEG;3948;;;;50;
jGn6Kt7o;4223;;2011-03-21;;30;
twwcDqXE;4224;;2011-03-21;;30;
KGiCKj_Z;6916;;;;30;
ygb2anDn;10355;;2008-01-30;2028-01-30;20;El contrato de arrendamiento fue firmado el 30/01/2008, tiene validez por 20 años y puede renovarse por 20 años más. 
tM6G2Z_O;11408;Decreto de adjudicación N°554;2021-10-21;;40;El plazo de cuarenta años se cuenta desde la fecha de suscripción de la escritura pública de concesión.
bxSMnctv;11410;Decreto de Adjudicación 551;2021-10-21;;40;El plazo de cuarenta años se cuenta desde la fecha de suscripción de la escritura pública de concesión.
ligQnK4E;11411;Decreto de adjudicación N°552;2021-10-21;;40;El plazo de cuarenta años se cuenta desde la fecha de suscripción de la escritura pública de concesión.
S_9qkTcy;11412;Decreto de adjudicación N°553;2021-10-21;;40;El plazo de cuarenta años se cuenta desde la fecha de suscripción de la escritura pública de concesión.
HAvkV4sK;11413;Decreto de adjudicación N°555;2021-10-21;;40;El plazo de cuarenta años se cuenta desde la fecha de suscripción de la escritura pública de concesión.
am-ulblZ;11414;Decreto de adjudicación N°556;2021-10-21;;40;El plazo de cuarenta años se cuenta desde la fecha de suscripción de la escritura pública de concesión.
X7fgMneZ;11417;Decreto de adjudicación N°192;2020-06-26;;40;El plazo se cuenta desde la fecha de suscripción de la escritura pública de concesión.
37tbaVmj;11421;Decreto de adjudicación N°194;2020-06-26;;40;El plazo se cuenta desde la fecha de suscripción de la escritura pública de concesión.
DJ3Xx2dw;11422;Contrato de Adjudicación N°197;2020-06-26;;40;El plazo se cuenta desde la fecha de suscripción de la escritura pública de concesión.
2Z5hJzUW;11423;Contrato de Adjudicación N°196;2020-06-26;;40;El plazo se cuenta desde la fecha de suscripción de la escritura pública de concesión.
ZDPkxuVb;11424;Contrato de Adjudicación N°193;2020-06-26;;40;El plazo se cuenta desde la fecha de suscripción de la escritura pública de concesión.
PIHTUewy;11429;Contrato de Adjudicación N°136;2022-04-14;;40;El plazo se cuenta desde la fecha de suscripción de la escritura pública de concesión.
nS0ID4tU;11442;Decreto de Ajudicación N°84;2021-02-08;;40;El plazo se cuenta a partir de la fecha de suscripción de la escritura pública de concesión.
PhXONgjQ;11444;Decreto de Ajudicación N°87;2021-02-08;;40;El plazo se cuenta a partir de la fecha de suscripción de la escritura pública de concesión.
uYPdiolQ;11445;Decreto de Ajudicación N°77;2021-02-08;;40;El plazo se cuenta a partir de la fecha de suscripción de la escritura pública de concesión.
m45tfLsj;11456;Decreto de Ajudicación N°393;2022-11-02;;40;El plazo se cuenta a partir de la fecha de suscripción de la escritura pública de concesión.
8HTomRyQ;11457;Decreto de Ajudicación N°177;2023-06-28;;40;El plazo se cuenta a partir de la fecha de suscripción de la escritura pública de concesión.
QVwXGjMA;11457;Decreto de Ajudicación N°178;2023-06-28;;40;El plazo se cuenta a partir de la fecha de suscripción de la escritura pública de concesión.
qOcbt5wM;11494;Decreto de Ajudicación N°190;2024-06-24;;40;El plazo cuenta desde la fecha de suscripción de la escritura pública del contrato de concesión.
CrTIrdH_;11563;Decreto de Adjudicación N°238;2021-05-10;;40;El plazo cuenta desde la fecha de suscripción de la escritura pública del contrato de concesión.
Uvzvt715;11564;Decreto de Adjudicación N°191;2020-06-26;;40;El plazo cuenta desde la fecha de suscripción de la escritura pública del contrato de concesión.
Tl4kSGi5;11568;Decreto de Adjudicación N°239;2021-05-10;;40;El plazo cuenta desde la fecha de suscripción de la escritura pública del contrato de concesión.
OAnuUa9u;11571;DEcreto de Adjudicación N°386;2020-10-09;;40;El plazo cuenta desde la fecha de suscripción de la escritura pública del contrato de concesión.
9Sxn4Cjk;11572;Decreto de Adjudicación N°81;2021-02-08;;40;El plazo cuenta desde la fecha de suscripción de la escritura pública del contrato de concesión.
owciULSj;11627;Decreto de Adjudicación N°552;2021-10-21;;40;El plazo cuenta desde la fecha de suscripción de la escritura pública del contrato de concesión.
