Deal ID;Is public;Deal scope;Deal size;Target country;Current size under contract;Current size in operation (production);Current negotiation status;Current implementation status;Fully updated;Created at;Top parent companies;Intended size (in ha);Size under contract (leased or purchased area, in ha);Size in operation (production, in ha);Comment on land area;Intention of investment;Comment on intention of investment;Carbon offset project;Comment on carbon offset project;Nature of the deal;Comment on nature of the deal;Negotiation status;Comment on negotiation status;Implementation status;Comment on implementation status;Purchase price;Purchase price currency;Purchase price area type;Purchase price area;Comment on purchase price;Annual leasing fee;Annual leasing fee currency;Annual leasing fee type;Annual leasing fee area;Comment on leasing fees;Contract farming;On leased / purchased;On leased area/farmers/households;Not on leased / purchased (out-grower);Not on leased area/farmers/households (out-grower);Comment on contract farming;Jobs created (total);Planned number of jobs (total);Planned employees (total);Planned daily/seasonal workers (total);Current total number of jobs/employees/ daily/seasonal workers;Comment on jobs created (total);Jobs created (foreign);Planned number of jobs (foreign);Planned employees (foreign);Planned daily/seasonal workers (foreign);Current foreign number of jobs/employees/ daily/seasonal workers;Comment on jobs created (foreign);Jobs created (domestic);Planned number of jobs (domestic);Planned employees (domestic);Planned daily/seasonal workers (domestic);Current domestic number of jobs/employees/ daily/seasonal workers;Comment on jobs created (domestic);Actors involved in the negotiation / admission process;Name of investment project;Comment on investment chain;Operating company: Investor ID;Operating company: Name;Operating company: Country of registration/origin;Operating company: Classification;Operating company: Investor homepage;Operating company: Opencorporates link;Operating company: Comment;Name of community;Name of indigenous people;Comment on communities / indigenous peoples affected;Recognition status of community land tenure;Comment on recognitions status of community land tenure;Community consultation;Comment on consultation of local community;Community reaction;Comment on community reaction;Presence of land conflicts;Comment on presence of land conflicts;Displacement of people;Number of people actually displaced;Number of households actually displaced;Number of people displaced out of their community land;Number of people displaced staying on community land;"Number of households displaced ""only"" from their agricultural fields";Number of people facing displacement once project is fully implemented;Comment on displacement of people;Negative impacts for local communities;Comment on negative impacts for local communities;Promised compensation (e.g. for damages or resettlements);Received compensation (e.g. for damages or resettlements);Promised benefits for local communities;Comment on promised benefits for local communities;Materialized benefits for local communities;Comment on materialized benefits for local communities;Presence of organizations and actions taken (e.g. farmer organizations, NGOs, etc.);Former land owner;Comment on former land owner;Former land use;Comment on former land use;Former land cover;Comment on former land cover;Crops area/yield/export;Comment on crops;Livestock area/yield/export;Comment on livestock;Mineral resources area/yield/export;Comment on mineral resources;Contract farming crops;Comment on contract farming crops;Contract farming livestock;Comment on contract farming livestock;Electricity generation;Comment on electricity generation;Carbon sequestration/offsetting;Comment on carbon sequestration/offsetting;Has domestic use;Domestic use;Has export;Export;Country 1;Country 1 ratio;Country 2;Country 2 ratio;Country 3;Country 3 ratio;Comment on use of produce;In country processing of produce;Comment on in country processing of produce;Processing facilities / production infrastructure of the project (e.g. oil mill, ethanol distillery, biomass power plant etc.);In-country end products of the project;Water extraction envisaged;Comment on water extraction envisaged;Source of water extraction;Comment on source of water extraction;Comment on how much do investors pay for water;Water extraction amount;Comment on how much water is extracted;Use of irrigation infrastructure;Comment on use of irrigation infrastructure;Water footprint of the investment project;Comment on gender-related info;Overall comment;Not public;Comment on not public
710;Yes;transnational;15000.00;Argentina;15000.00;;Concluded (Contract signed);Startup phase (no production);2023-07-01T15:49:22.403000+00:00;2013-02-15T16:00:33+00:00;Joseph Lewis#3986#United Kingdom of Great Britain and Northern Ireland;;2006#current#15000;;"The same source saids that Joe Lewis already owned other property of 14 000 ha in a close region, bought in 1997, which contained the Hidden Lake (Lago Escondido); see case 726";#current##Tourism;;Unknown;;Outright purchase;;2006#current#Concluded (Contract signed);Construction of a supposed luxurious tourism complex (the same as in the first 15 000 ha property), including a private airport.;2006#current#Startup phase (no production);Construction of a supposed luxurious tourism complex (the same as in the first 15 000 ha property), including a private airport.;;;;;;;;;;;Unknown;Unknown;;Unknown;;;Unknown;;;;;;Unknown;;;;;;Unknown;;;;;;;;According to source 1, Joe Lewis and his son Charles were owners of the Hardrock café and are associates of the (gastronomic chain) Planet Hollywood. In Argentina, Joe Lewis' tourism interests are represented by his entreprise Hidden Lake SA. Acoording to source 7 the land belongs to Vanessa Mazza and Nicolás Van Ditmar.;35355;Hidden Lake S.A.;Argentina;Private company;;;;;;;;;Not consulted;;Mixed reaction;;Unknown;;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;Unknown;;;;Unknown;;;;;;;Unknown;;;;"Import of error check - Coordinator's overview comment: See TS comment. Keep? 
Import of error check - Reviewer's overview comment: The source is not clear about that, but it seems that Lewis bought public land. This property of 15 000 ha embraces 50 klm of Patagonia coast, near the ""Peninsula Valdés"" protected area, and there would be an attempt to privatize the access to the sea (like Lewis had tried for the access to the Hidden Lake in his near 14 000 ha touristic property). There is also a controverse about the construction of a private airport in the Lewis' property (apparently with the pretext to join the two properties).";False;
717;Yes;transnational;24394.00;Argentina;24394.00;;Concluded (Contract signed);Project not started;2023-07-01T19:15:17.111000+00:00;2013-02-15T16:00:34+00:00;Grupo Burco#4071#Belgium;;2006##7080|2007##11580|2010##14270|2011#current#24394;;;#current##Tourism;;Unknown;;Outright purchase;;2008#current#Concluded (Contract signed);;2013#current#Project not started;No information on implementation status (4);;;;;;;;;;;Unknown;Unknown;;Unknown;;;Unknown;;;;;;Unknown;;;;;;Unknown;;;;;;;;;35361;Burco Argentina SA.;Argentina;Private company;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;Unknown;;;;Unknown;;;;;;;Unknown;;;;;False;
724;Yes;transnational;14000.00;Argentina;14000.00;14000.00;Concluded (Contract signed);In operation (production);2023-07-02T23:17:16.115000+00:00;2013-02-15T16:00:34+00:00;AgroGeneration#656#France|La Suerte Agro SA#3702#Argentina;50000.00;2012#current#14000;2012#current#14000;;#current##Food crops;;Unknown;;Lease;;2012#current#Concluded (Contract signed);;2010#current#In operation (production);;;;;;;;;;;;Unknown;Unknown;;Unknown;;;Yes;;;;2012#current##200#;corresponde a todos los empleados de la empresa La Suerte Agro en ese año.;Unknown;;;;;;Unknown;;;;;;;;;35367;AgerAustral S.A;Ukraine;Private company;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;;;;;;;;;;;;;;;#current####Cereals (unspecified);;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;Unknown;;;;Unknown;;;;;;;Unknown;;;;This was a trial for further big investment;False;
727;Yes;transnational;468000.00;Argentina;468000.00;468000.00;Concluded (Contract signed);In operation (production);2023-07-03T22:20:20.959000+00:00;2013-02-15T16:00:35+00:00;Walbrook#3987#Malaysia;;2011#current#468000;2011#current#468000;;#current##Food crops, Tourism;;Unknown;;Outright purchase;;2001#current#Concluded (Contract signed);;2001#current#In operation (production);;5000000.00;US Dollar ($);;;"La empresa pagó 5 millones de dólares por las 240000 hectáreas en Malargue
Fuente: https://www.lanacion.com.ar/economia/un-grupo-malayo-incrementa-sus-inversiones-en-mendoza-nid480616/";;;;;;Unknown;Unknown;;Unknown;;;Yes;200;;;;En sus inicios, la empresa planeaba crear 200 puestos de trabajo nuevos con sus emprendimientos;Unknown;;;;;;Unknown;;;;;;;;;35369;Nieves de Mendoza SA.;Argentina;Private company;;;;;;;;;;;;;Yes;"La familia Gutiérrez de puesto “El álamo” resiste el desalojo del campo de más de 12.000 hectáreas que ocupa por más de 100 años de posesión en forma ininterrumpida. El campo está ubicado en la zona El Mollar, puesto Rojas, al noroeste de la ciudad de Malargüe. La familia se dedica a la crianza de animales como cabalgares, cabras, vacunos, aves de corral, a la forestación y labores de huerta. En diciembre de 2022 la Justicia mendocina falló en contra del intento de desalojo.
En abril de 2023 la Justicia sanrafaelina falló a favor de la empresa Nieves de Mendoza SA, que había solicitado en marzo la nulidad de la resolución del INAI. Nieves de Mendoza había planteado que era “la titular registral ­desde el año 2.000­ del inmueble sobre el que recayó la resolución atacada” y sostuvo que ésta abarca “4.477 hectáreas dentro del inmueble ‘El Álamo’ de dominio de la reclamante”. Estos terrenos se encuentran en la localidad de Los Molles, en Malargüe.";Unknown;;;;;;;The town Las Juntas is in the lands purchased by company;;;;;;;;;;;;;;;;#current####Potatoes, Seeds Production (unspecified);;#current####Goats;;;;;;;;;;;;Unknown;;Yes;;India;;;;;;;Unknown;;;;Unknown;;;;;;;Unknown;;;;Import of error check - Coordinator's overview comment: 0;False;
729;Yes;transnational;11000.00;Argentina;11000.00;11000.00;Concluded (Contract signed);In operation (production);2024-05-07T14:59:33.828000+00:00;2013-02-15T16:00:35+00:00;Sojitz Group#526#Japan;200000.00;2010#current#11000;2012#current#11000;;2012#current#11000#Food crops;;Unknown;;Lease;;2010#current#Concluded (Contract signed);;2012#current#In operation (production);In Argentina, now in its third year, we will strengthen production and sales of grains, primarily soybeans, on 11,000 hectares of farmland (Company Annual Report 2012);;;;;;;;;;;Unknown;Unknown;;Unknown;;;Unknown;;;;;;Unknown;;;;;;Unknown;;;;;;;;;35370;Sojitz Buenas Tierras del Sur SA.;Argentina;Private company;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;;;;;;;;;;;;;;;#current####Corn (Maize), Soya Beans, Wheat;Production of 30,000 tons of soybeans and grains is expected in the first year;;;;;;;;;;;;;Unknown;;Yes;;Japan;;;;;;;Unknown;FOD (Food processing (no specification));;;Unknown;;;;;;;Unknown;;;;;False;
734;Yes;transnational;37000.00;Argentina;37000.00;37000.00;Concluded (Contract signed);In operation (production);2023-07-04T23:18:20.357000+00:00;2013-02-15T16:00:36+00:00;Ted Turner#648#United States of America;;2014#current#37000;2014#current#37000;"This deal correspond to the bought of Collun Cura although the owner, Ted Turner, has at least three properties in the south of Argentina: La Primavera, San José, Collon Cura. This last one has been bought in 2006 and its surface is 37 000 ha. One of the two others has 4500 ha.
Thomas Siron: it seems that this 45 000 ha represent the total of three properties, including one of 37 000 ha (see remarks)
";#current##Conservation;;Unknown;;Outright purchase;;2000#current#Concluded (Contract signed);;2000#current#In operation (production);;5400000.00;US Dollar ($);;;;;;;;;Unknown;Unknown;;Unknown;;;Unknown;;;;;;Unknown;;;;;;Unknown;;;;;;;;;35359;La Primavera Argentina LLC.;Argentina;Private company;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;Unknown;;;;Unknown;;;;;;;Unknown;;;;;False;
736;Yes;transnational;10000.00;Argentina;10000.00;1500.00;Concluded (Oral Agreement);Project abandoned;2024-05-17T19:05:55.182000+00:00;2013-02-15T16:00:36+00:00;Bema Agri BV#3925#Netherlands;;2008#current#10000;2009#current#1500;;#current##Food crops, Livestock;;Unknown;;Outright purchase;;2008#current#Concluded (Oral Agreement);;2009##In operation (production)|2021#current#Project abandoned;La Justicia confirmó que la agricultura en isla Irupé está prohibida, en un fallo de la Cámara de Paraná contra Bema Agri en 2018. Por lo que la empresa decidió poner en venta el campo en 2021 ;;;;;;;;;;;Unknown;Unknown;;Unknown;;;Unknown;;;;;;Unknown;;;;;;Unknown;;;;;;;;;35376;Bema Agri BV Sucursal Argentina;Argentina;Private company;;;;;;;;;;;Rejection;"La empresa cultivó en una isla dentro de un humedal, por lo que esta violando la ley provincial.
La prensa alertó las actividades que estaba realizando la empresa y esto llevo a la paralización por parte de la autoridad municipal que continuó con una impugnación por parte de la empresa y la posterior intervención de la justicia. En mayo de 2018 la Justicia confirmó que la agricultura en isla Irupé está prohibida.";Unknown;;Unknown;;;;;;;;;;;;;;;;;;;Conservation;;Forest land|Shrub land/Grassland (Rangeland);;#current####Sorghum, Soya Beans;;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;Unknown;;;;Unknown;;;;;;;Unknown;;;;La actividad en este predio presenta irregularidades ya que se realizaron obras sin las respectivas habilitaciones y licencias ambientales, por lo que fueron paralizadas. Además, la agricultura es una actividad prohibida en las islas que pertenecen a la localidad de Victoria. La empresa puso a la venta las tierras en junio de 2021.;False;
737;Yes;transnational;1775.00;Argentina;1775.00;1775.00;Concluded (Contract signed);In operation (production);2023-07-05T00:05:54.022000+00:00;2013-02-15T16:00:36+00:00;M. P. Wines#3988#Netherlands;;2014#current#1775;2014#current#1775;;#current##Non-food agricultural commodities;;Unknown;;Outright purchase;;2002#current#Concluded (Contract signed);Bodegas Callia nació en 2002, cuando el grupo MP Wines compró una de las bodegas de la familia pulenta en Caucete, San Juan;2002#current#In operation (production);;;;;;;;;;;;Unknown;Unknown;;Unknown;;;Unknown;;;;;;Unknown;;;;;;Unknown;;;;;;;;;35377;Grupo MP Wines;Argentina;Private company;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;;;;;;;;;;;;;;Cultivos de vid;#current####Vineyard;;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;Unknown;;;;Unknown;;;;;;;Unknown;;;;Import of error check - Coordinator's overview comment: 0;False;
738;Yes;transnational;3109.00;Bolivia;3109.00;2814.00;Concluded (Contract signed);In operation (production);2025-06-02T17:39:24.016683+00:00;2013-02-15T16:00:36+00:00;Cresud S.A.#3027#Argentina;;2008#current#3109;2008#current#2814;;#current##Food crops, Agriculture unspecified;;Unknown;;Outright purchase;;2008#current#Concluded (Contract signed);;2008#current#In operation (production);;4992000.00;US Dollar ($);for specified area;3109.00;In 2008, Cresud acquired 12,166 has for USD 28,900,000. In 2011, it acquired further 2,660 has for USD 8,400,000 and 2,340 has for USD 4,992,000.;;;;;;Unknown;Unknown;;Unknown;;;Unknown;;;;;;Unknown;;;;;;Unknown;;;;;;;;;47303;Agropecuaria Acres del Sud SA;Bolivia;Private company;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;;;;;;;;;;;;;;;#current####Soya Beans, Sugar Cane;;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;Unknown;;;;Unknown;;;;;;;Unknown;;;;;False;
739;Yes;transnational;5700.00;Bolivia;5700.00;5700.00;Concluded (Contract signed);In operation (production);2023-11-13T15:41:37.297000+00:00;2013-02-15T16:00:37+00:00;El Tejar Ltd.#916#Argentina;;2010#current#5700;2010#current#5700;;2002#current#5700#Food crops, Agriculture unspecified;;Unknown;;Lease;;2002#current#Concluded (Contract signed);;2002#current#In operation (production);;;;;;;;;;;;Unknown;Unknown;;Unknown;;;Unknown;;;;;;Unknown;;;;;;Unknown;;;;;;;;;39856;El Tejar in Bolivia (Plurinational State of);Bolivia;Private company;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;;;;;;;;;;;;;;;#current####Soya Beans;;;;;;;;;;;;;;Unknown;;Unknown;;;;;;;;;Unknown;;;;Unknown;;;;;;;Unknown;;;;;False;
