Country / Territory,ISO3,CPI 2024 score,Rank,,,,,,,,,,,,,,,,,,
Denmark,DNK,90,1,,,,,,,,,,,,,,,,,,
Finland,FIN,88,2,,,,,,,,,,,,,,,,,,
Singapore,SGP,84,3,,,,,,,,,,,,,,,,,,
New Zealand,NZL,83,4,,,,,,,,,,,,,,,,,,
Luxembourg,LUX,81,5,,,,,,,,,,,,,,,,,,
Norway,NOR,81,5,,,,,,,,,,,,,,,,,,
Switzerland,CHE,81,5,,,,,,,,,,,,,,,,,,
Sweden,SWE,80,8,,,,,,,,,,,,,,,,,,
Netherlands,NLD,78,9,,,,,,,,,,,,,,,,,,
Australia,AUS,77,10,,,,,,,,,,,,,,,,,,
Iceland,ISL,77,10,,,,,,,,,,,,,,,,,,
Ireland,IRL,77,10,,,,,,,,,,,,,,,,,,
Estonia,EST,76,13,,,,,,,,,,,,,,,,,,
Uruguay,URY,76,13,,,,,,,,,,,,,,,,,,
Canada,CAN,75,15,,,,,,,,,,,,,,,,,,
Germany,DEU,75,15,,,,,,,,,,,,,,,,,,
Hong Kong,HKG,74,17,,,,,,,,,,,,,,,,,,
Bhutan,BTN,72,18,,,,,,,,,,,,,,,,,,
Seychelles,SYC,72,18,,,,,,,,,,,,,,,,,,
Japan,JPN,71,20,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,71,20,,,,,,,,,,,,,,,,,,
Belgium,BEL,69,22,,,,,,,,,,,,,,,,,,
Barbados,BRB,68,23,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,68,23,,,,,,,,,,,,,,,,,,
Austria,AUT,67,25,,,,,,,,,,,,,,,,,,
France,FRA,67,25,,,,,,,,,,,,,,,,,,
Taiwan,TWN,67,25,,,,,,,,,,,,,,,,,,
Bahamas,BHS,65,28,,,,,,,,,,,,,,,,,,
United States,USA,65,28,,,,,,,,,,,,,,,,,,
Israel,ISR,64,30,,,,,,,,,,,,,,,,,,
"Korea, South",KOR,64,30,,,,,,,,,,,,,,,,,,
Chile,CHL,63,32,,,,,,,,,,,,,,,,,,
Lithuania,LTU,63,32,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,VCT,63,32,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,62,35,,,,,,,,,,,,,,,,,,
Dominica,DMA,60,36,,,,,,,,,,,,,,,,,,
Slovenia,SVN,60,36,,,,,,,,,,,,,,,,,,
Latvia,LVA,59,38,,,,,,,,,,,,,,,,,,
Qatar,QAT,59,38,,,,,,,,,,,,,,,,,,
Saint Lucia,LCA,59,38,,,,,,,,,,,,,,,,,,
Saudi Arabia,SAU,59,38,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,58,42,,,,,,,,,,,,,,,,,,
Botswana,BWA,57,43,,,,,,,,,,,,,,,,,,
Portugal,PRT,57,43,,,,,,,,,,,,,,,,,,
Rwanda,RWA,57,43,,,,,,,,,,,,,,,,,,
Cyprus,CYP,56,46,,,,,,,,,,,,,,,,,,
Czechia,CZE,56,46,,,,,,,,,,,,,,,,,,
Grenada,GRD,56,46,,,,,,,,,,,,,,,,,,
Spain,ESP,56,46,,,,,,,,,,,,,,,,,,
Fiji,FJI,55,50,,,,,,,,,,,,,,,,,,
Oman,OMN,55,50,,,,,,,,,,,,,,,,,,
Italy,ITA,54,52,,,,,,,,,,,,,,,,,,
Bahrain,BHR,53,53,,,,,,,,,,,,,,,,,,
Georgia,GEO,53,53,,,,,,,,,,,,,,,,,,
Poland,POL,53,53,,,,,,,,,,,,,,,,,,
Mauritius,MUS,51,56,,,,,,,,,,,,,,,,,,
Malaysia,MYS,50,57,,,,,,,,,,,,,,,,,,
Vanuatu,VUT,50,57,,,,,,,,,,,,,,,,,,
Greece,GRC,49,59,,,,,,,,,,,,,,,,,,
Jordan,JOR,49,59,,,,,,,,,,,,,,,,,,
Namibia,NAM,49,59,,,,,,,,,,,,,,,,,,
Slovakia,SVK,49,59,,,,,,,,,,,,,,,,,,
Armenia,ARM,47,63,,,,,,,,,,,,,,,,,,
Croatia,HRV,47,63,,,,,,,,,,,,,,,,,,
Kuwait,KWT,46,65,,,,,,,,,,,,,,,,,,
Malta,MLT,46,65,,,,,,,,,,,,,,,,,,
