ISO3,Country,Corruption_Score,Press_Freedom_Score,Literacy_Rate_Pct,Rule_of_Law_Score_Pct,Total_Deal_Size,Avg_Deal_Size,Num_Deals,Prop_Agriculture,Prop_Mining,Climate_Cases,Prop_Climate_Decided,Prop_Climate_Agriculture,ISDS_Cases,Avg_Amount_Claimed,Total_Amount_Claimed,ISDS_Cases_Ag_Mining,Population,log_Population
AFG,Afghanistan,17.0,39.75,37.0,,48.56,24.28,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,43844100.0,17.596150718128943
AGO,Angola,32.0,48.3,72.0,,852565.0,18534.021739130436,46.0,0.9565217391304348,0.021739130434782608,0.0,,,0.0,0.0,0.0,0.0,39040000.0,17.480097319509166
ALB,Albania,42.0,57.86,99.0,45.75711263459958,32545.8,3254.58,10.0,0.5,0.0,0.0,,,7.0,181.14285714285714,1268.0,2.0,2771510.0,14.834902855989915
AND,,,75.05,100.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,82904.0,11.325438590864053
ARE,United Arab Emirates,68.0,42.99,98.0,55.30594951391282,0.0,0.0,0.0,,,0.0,,,3.0,235.4333333333333,706.3,0.0,11346000.0,16.24437581686865
ARG,Argentina,37.0,73.36,99.0,45.99245083640942,19610526.9,41198.58592436974,476.0,0.5504201680672269,0.3739495798319328,7.0,0.14285714285714285,0.7142857142857143,48.0,677.7416666666667,32531.6,8.0,45851400.0,17.64091629055173
ARM,Armenia,47.0,70.61,100.0,,52000.0,52000.0,1.0,1.0,0.0,0.0,,,3.0,63.333333333333336,190.0,2.0,2952360.0,14.898115408486566
AUS,Australia,77.0,78.24,100.0,88.34569319810308,0.0,0.0,0.0,,,26.0,0.6923076923076923,0.5,2.0,99231.2,198462.4,2.0,26974000.0,17.11038399705894
AUT,Austria,67.0,77.3,,82.25011378235942,0.0,0.0,0.0,,,7.0,0.8571428571428571,0.42857142857142855,1.0,232.8,232.8,0.0,9113570.0,16.025275069530558
AZE,Azerbaijan,22.0,39.93,100.0,,0.0,0.0,0.0,,,0.0,,,4.0,380.0,1520.0,1.0,10397700.0,16.15709518580733
BDI,Burundi,17.0,52.14,76.0,,0.0,0.0,0.0,,,0.0,,,3.0,62.333333333333336,187.0,3.0,14390000.0,16.48204407886355
BEL,Belgium,69.0,76.47,,78.08681048535466,0.0,0.0,0.0,,,4.0,0.5,0.25,1.0,960.6,960.6,0.0,11758600.0,16.280095445728975
BEN,Benin,45.0,52.44,47.0,,355000.0,39444.444444444445,9.0,0.6666666666666666,0.0,0.0,,,0.0,0.0,0.0,0.0,14814500.0,16.511116988842144
BFA,Burkina Faso,41.0,67.64,34.0,43.31837341953797,835927.0,41796.35,20.0,0.1,0.9,0.0,,,0.0,0.0,0.0,0.0,24074600.0,16.996667900764848
BGD,Bangladesh,23.0,35.31,75.0,40.29314208965748,83209.19,1155.6831944444446,72.0,0.09722222222222222,0.0,0.0,,,1.0,12.5,12.5,0.0,175687000.0,18.984214560664682
BGR,Bulgaria,43.0,62.98,98.0,51.46301756811993,1313417.74,3267.2083084577116,402.0,0.11940298507462686,0.0,1.0,0.0,0.0,5.0,450.68,2253.4,1.0,6714560.0,15.719788860848467
BHR,Bahrain,53.0,30.59,98.0,,0.0,0.0,0.0,,,0.0,,,2.0,3757.1,7514.2,0.0,1643330.0,14.31223522895114
BHS,Bahamas,65.0,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,403033.0,12.906773723432435
BIH,Bosnia and Herzegovina,33.0,65.43,98.0,54.5037693443433,6694.75,514.9807692307693,13.0,0.6923076923076923,0.0,0.0,,,3.0,373.6333333333334,1120.9,0.0,3140100.0,14.959765204511084
BLR,Belarus,33.0,37.17,100.0,33.50350992184788,330291.4,41286.425,8.0,0.625,0.0,0.0,,,2.0,92.65,185.3,0.0,8997600.0,16.01246843307195
